D,d,alpha,z,valid,reason,seconds,mu_c,zero_nodes,zero_rms,mu2,b2_fredholm_residual,metric_nodes,metric_rms,metric_anchor_rel_error,response_Finf,response_anchor_rel_error
4,2,2.0,1.0,True,,0.024856090545654297,5.67955107885643,1132.0,9.98663140012054e-07,,,,,,1.3690957813590508e-11,
4,2,2.0,1.5,True,,0.019313573837280273,8.101933015796016,1008.0,9.066209444151993e-07,,,,,,8.472821340768378e-11,
4,2,2.0,2.0,True,,0.01972818374633789,10.557354062038943,977.0,9.450427019663703e-07,,,,,,2.646860867464618e-10,
4,2,2.0,2.5,True,,0.018608570098876953,13.017423506418908,951.0,9.097083757479494e-07,,,,,,6.187602965598471e-10,
4,2,2.0,3.0,True,,0.02742910385131836,15.46874431635619,928.0,9.67538453087954e-07,,,,,,1.2234047560851525e-09,
4,2,2.0,4.0,True,,0.02204298973083496,20.32600168064785,889.0,9.289641293828395e-07,,,,,,3.5321136217533356e-09,
4,2,2.0,5.0,True,,0.02122640609741211,25.118170699483112,854.0,9.658370753980604e-07,,,,,,7.94556423804308e-09,
4,2,3.0,1.0,True,,0.024823427200317383,6.847137306552946,1148.0,9.718366096743776e-07,,,,,,1.0935086160007478e-11,
4,2,3.0,1.5,True,,0.018378734588623047,9.189121096392839,1014.0,9.762756394427457e-07,,,,,,6.988079262764861e-11,
4,2,3.0,2.0,True,,0.017995595932006836,11.55759042036227,980.0,9.939614633467209e-07,,,,,,2.2751816932120217e-10,
4,2,3.0,2.5,True,,0.019741296768188477,13.938390157232291,949.0,9.6619308390812e-07,,,,,,5.445176477479896e-10,
4,2,3.0,3.0,True,,0.020041227340698242,16.32216929000027,923.0,9.90571061110023e-07,,,,,,1.090950189307394e-09,
4,2,3.0,4.0,True,,0.020924806594848633,21.07878133570859,887.0,9.821672058270115e-07,,,,,,3.1914318089405206e-09,
4,2,3.0,5.0,True,,0.023725271224975586,25.806768619850473,852.0,9.752911391006253e-07,,,,,,7.227753916943825e-09,
4,2,4.0,1.0,True,,0.025185346603393555,8.008110994235764,1163.0,9.817027892983795e-07,,,,,,7.32304836385562e-12,
4,2,4.0,1.5,True,,0.017298221588134766,10.318274686111806,1004.0,9.604017204735082e-07,,,,,,5.354158816672427e-11,
4,2,4.0,2.0,True,,0.018310546875,12.642157469399324,983.0,9.89581943601814e-07,,,,,,1.872311076486651e-10,
4,2,4.0,2.5,True,,0.020267724990844727,14.976243055417843,951.0,9.58363879862618e-07,,,,,,4.661917324903387e-10,
4,2,4.0,3.0,True,,0.02058124542236328,17.315797480618237,924.0,9.637628546155278e-07,,,,,,9.562801241900876e-10,
4,2,4.0,4.0,True,,0.021317243576049805,21.99745102544413,879.0,9.635239282540488e-07,,,,,,2.8684442521779535e-09,
4,2,4.0,5.0,True,,0.022610187530517578,26.669188808015893,846.0,9.758075995382894e-07,,,,,,6.578644093950415e-09,
