D,scan,x,case,mu_c_visible,mu_c_value,mu_ratio
5,theta,2.75,I,13.339816398935268,13.339816398935268,1.0
5,theta,2.75,II,13.339816398935268,11.191712318637986,0.8389704913428393
5,theta,2.75,III-a,13.339816398935268,13.339816398935268,1.0
5,theta,2.75,III-b,13.339816398935268,13.339816398935268,1.0
5,theta,2.7750000000000004,vis,13.38191667266352,13.38191667266352,1.0
5,theta,2.7750000000000004,I,13.38191667266352,13.38191667266352,1.0
5,theta,2.7750000000000004,II,13.38191667266352,11.227033205973447,0.8389704913428393
5,theta,2.7750000000000004,III-a,13.38191667266352,13.38191667266352,1.0
5,theta,2.7750000000000004,III-b,13.38191667266352,13.38191667266352,1.0
5,theta,2.8000000000000003,vis,13.424028907655428,13.424028907655428,1.0
5,theta,2.8000000000000003,I,13.424028907655428,13.424028907655428,1.0
5,theta,2.8000000000000003,II,13.424028907655428,11.262364128456152,0.8389704913428393
5,theta,2.8000000000000003,III-a,13.424028907655428,13.424028907655428,1.0
5,theta,2.8000000000000003,III-b,13.424028907655428,13.424028907655428,1.0
5,theta,2.825,vis,13.466150846044304,13.466150846044304,1.0
5,theta,2.825,I,13.466150846044304,13.466150846044304,1.0
5,theta,2.825,II,13.466150846044304,11.297703191802581,0.8389704913428393
5,theta,2.825,III-a,13.466150846044304,13.466150846044304,1.0
5,theta,2.825,III-b,13.466150846044304,13.466150846044304,1.0
5,theta,2.85,vis,13.508280229963464,13.508280229963464,1.0
5,theta,2.85,I,13.508280229963464,13.508280229963464,1.0
5,theta,2.85,II,13.508280229963464,11.333048501729209,0.8389704913428393
5,theta,2.85,III-a,13.508280229963464,13.508280229963464,1.0
5,theta,2.85,III-b,13.508280229963464,13.508280229963464,1.0
5,theta,2.875,vis,13.55041480154622,13.55041480154622,1.0
5,theta,2.875,I,13.55041480154622,13.55041480154622,1.0
5,theta,2.875,II,13.55041480154622,11.368398163952515,0.8389704913428393
5,theta,2.875,III-a,13.55041480154622,13.55041480154622,1.0
5,theta,2.875,III-b,13.55041480154622,13.55041480154622,1.0
5,theta,2.9000000000000004,vis,13.592552302925892,13.592552302925892,1.0
5,theta,2.9000000000000004,I,13.592552302925892,13.592552302925892,1.0
5,theta,2.9000000000000004,II,13.592552302925892,11.403750284188977,0.8389704913428393
5,theta,2.9000000000000004,III-a,13.592552302925892,13.592552302925892,1.0
5,theta,2.9000000000000004,III-b,13.592552302925892,13.592552302925892,1.0
5,theta,2.9250000000000003,vis,13.63469047623579,13.63469047623579,1.0
5,theta,2.9250000000000003,I,13.63469047623579,13.63469047623579,1.0
5,theta,2.9250000000000003,II,13.63469047623579,11.439102968155073,0.8389704913428393
5,theta,2.9250000000000003,III-a,13.63469047623579,13.63469047623579,1.0
5,theta,2.9250000000000003,III-b,13.63469047623579,13.63469047623579,1.0
5,theta,2.95,vis,13.67682706360923,13.67682706360923,1.0
5,theta,2.95,I,13.67682706360923,13.67682706360923,1.0
5,theta,2.95,II,13.67682706360923,11.474454321567277,0.8389704913428393
5,theta,2.95,III-a,13.67682706360923,13.67682706360923,1.0
5,theta,2.95,III-b,13.67682706360923,13.67682706360923,1.0
5,theta,2.975,vis,13.718959807179525,13.718959807179525,1.0
5,theta,2.975,I,13.718959807179525,13.718959807179525,1.0
5,theta,2.975,II,13.718959807179525,11.50980245014207,0.8389704913428393
5,theta,2.975,III-a,13.718959807179525,13.718959807179525,1.0
5,theta,2.975,III-b,13.718959807179525,13.718959807179525,1.0
5,theta,3.0,vis,13.761086449079995,13.761086449079995,1.0
5,theta,3.0,I,13.761086449079995,13.761086449079995,1.0
5,theta,3.0,II,13.761086449079995,11.54514545959593,0.8389704913428393
5,theta,3.0,III-a,13.761086449079995,13.761086449079995,1.0
5,theta,3.0,III-b,13.761086449079995,13.761086449079995,1.0
5,theta,3.0250000000000004,vis,13.803220501207257,13.803220501207257,1.0
5,theta,3.0250000000000004,I,13.803220501207257,13.803220501207257,1.0
5,theta,3.0250000000000004,II,13.803220501207257,11.580494686011404,0.8389704913428393
5,theta,3.0250000000000004,III-a,13.803220501207257,13.803220501207257,1.0
5,theta,3.0250000000000004,III-b,13.803220501207257,13.803220501207257,1.0
5,theta,3.0500000000000003,vis,13.845376969239943,13.845376969239943,1.0
5,theta,3.0500000000000003,I,13.845376969239943,13.845376969239943,1.0
5,theta,3.0500000000000003,II,13.845376969239943,11.615862718710066,0.8389704913428393
5,theta,3.0500000000000003,III-a,13.845376969239943,13.845376969239943,1.0
5,theta,3.0500000000000003,III-b,13.845376969239943,13.845376969239943,1.0
5,theta,3.075,vis,13.887555835984394,13.887555835984394,1.0
5,theta,3.075,I,13.887555835984394,13.887555835984394,1.0
5,theta,3.075,II,13.887555835984394,11.651249543266943,0.8389704913428393
5,theta,3.075,III-a,13.887555835984394,13.887555835984394,1.0
5,theta,3.075,III-b,13.887555835984394,13.887555835984394,1.0
5,theta,3.1,vis,13.929757084246948,13.929757084246948,1.0
5,theta,3.1,I,13.929757084246948,13.929757084246948,1.0
5,theta,3.1,II,13.929757084246948,11.686655145257058,0.8389704913428393
5,theta,3.1,III-a,13.929757084246948,13.929757084246948,1.0
5,theta,3.1,III-b,13.929757084246948,13.929757084246948,1.0
5,theta,3.125,vis,13.971980696833944,13.971980696833944,1.0
5,theta,3.125,I,13.971980696833944,13.971980696833944,1.0
5,theta,3.125,II,13.971980696833944,11.72207951025544,0.8389704913428393
5,theta,3.125,III-a,13.971980696833944,13.971980696833944,1.0
5,theta,3.125,III-b,13.971980696833944,13.971980696833944,1.0
5,theta,3.1500000000000004,vis,14.01422665655172,14.01422665655172,1.0
5,theta,3.1500000000000004,I,14.01422665655172,14.01422665655172,1.0
5,theta,3.1500000000000004,II,14.01422665655172,11.757522623837113,0.8389704913428393
5,theta,3.1500000000000004,III-a,14.01422665655172,14.01422665655172,1.0
5,theta,3.1500000000000004,III-b,14.01422665655172,14.01422665655172,1.0
5,theta,3.1750000000000003,vis,14.056494946206614,14.056494946206614,1.0
5,theta,3.1750000000000003,I,14.056494946206614,14.056494946206614,1.0
5,theta,3.1750000000000003,II,14.056494946206614,11.7929844715771,0.8389704913428393
5,theta,3.1750000000000003,III-a,14.056494946206614,14.056494946206614,1.0
5,theta,3.1750000000000003,III-b,14.056494946206614,14.056494946206614,1.0
5,theta,3.2,vis,14.098785548604964,14.098785548604964,1.0
5,theta,3.2,I,14.098785548604964,14.098785548604964,1.0
5,theta,3.2,II,14.098785548604964,11.828465039050428,0.8389704913428393
5,theta,3.2,III-a,14.098785548604964,14.098785548604964,1.0
5,theta,3.2,III-b,14.098785548604964,14.098785548604964,1.0
5,theta,3.225,vis,14.141098446553109,14.141098446553109,1.0
5,theta,3.225,I,14.141098446553109,14.141098446553109,1.0
5,theta,3.225,II,14.141098446553109,11.863964311832124,0.8389704913428393
5,theta,3.225,III-a,14.141098446553109,14.141098446553109,1.0
5,theta,3.225,III-b,14.141098446553109,14.141098446553109,1.0
5,theta,3.25,vis,14.183433622857386,14.183433622857386,1.0
5,theta,3.25,I,14.183433622857386,14.183433622857386,1.0
5,theta,3.25,II,14.183433622857386,11.899482275497208,0.8389704913428393
5,theta,3.25,III-a,14.183433622857386,14.183433622857386,1.0
5,theta,3.25,III-b,14.183433622857386,14.183433622857386,1.0
5,theta,3.2750000000000004,vis,14.22579106032414,14.22579106032414,1.0
5,theta,3.2750000000000004,I,14.22579106032414,14.22579106032414,1.0
5,theta,3.2750000000000004,II,14.22579106032414,11.935018915620715,0.8389704913428393
5,theta,3.2750000000000004,III-a,14.22579106032414,14.22579106032414,1.0
5,theta,3.2750000000000004,III-b,14.22579106032414,14.22579106032414,1.0
5,theta,3.3000000000000003,vis,14.268170741759699,14.268170741759699,1.0
5,theta,3.3000000000000003,I,14.268170741759699,14.268170741759699,1.0
5,theta,3.3000000000000003,II,14.268170741759699,11.970574217777658,0.8389704913428393
5,theta,3.3000000000000003,III-a,14.268170741759699,14.268170741759699,1.0
5,theta,3.3000000000000003,III-b,14.268170741759699,14.268170741759699,1.0
5,theta,3.325,vis,14.310572649970409,14.310572649970409,1.0
5,theta,3.325,I,14.310572649970409,14.310572649970409,1.0
