accepted_points,alpha_dm,c2,c2_sign,c4,claim2_candidate,delta2,fit_success,max_abs_residual,message,mu0,mu0_minus_mu_c,mu_X,mu_c,point_key,psi_sq_max,psi_sq_min,rmse,closure_mode,classification,mu_extremal_max
4,0.8,0.023270257462725326,positive,-0.0005919959832554958,False,0.1,True,1.3954291055995327e-09,,3.459759125089164,0.0007206848040919311,1.0,3.459038440285072,d0.10_a0.8_nu1.0,0.056432471731900434,0.003522257832675914,9.051802582146449e-10,,,
4,0.8,0.027963170096899605,positive,-0.000941269501635737,False,0.1,True,2.2818436029581335e-09,,3.439720108760625,0.0006317649154912175,1.5,3.4390883438451336,d0.10_a0.8_nu1.5,0.04935385168385821,0.0030797499854050897,1.48013203831499e-09,,,
4,0.8,0.0359442514666767,positive,-0.0017804870902324286,False,0.1,True,4.035911604916009e-09,,3.4018001316219304,0.0005275429854827429,2.0,3.4012725886364477,d0.10_a0.8_nu2.0,0.040870276961985766,0.0025494272218915923,2.6177993068305092e-09,,,
4,1.2,0.01804648935416277,positive,-0.0003587856219727509,False,0.1,True,8.798655137809419e-09,,3.0648640173922552,0.0008396523137652601,0.0,3.06402436507849,d0.10_a1.2_nu0.0,0.07350601387169454,0.004587865194774485,5.707451334523235e-09,,,
4,1.2,0.02104279534301217,positive,-0.0005466032858209111,False,0.1,True,1.6185466300555618e-09,,3.114925289486609,0.0007634983278528296,0.5,3.114161791158756,d0.10_a1.2_nu0.5,0.06714361610307436,0.004189855307066924,1.0498793126989316e-09,,,
4,1.2,0.02565066762700243,positive,-0.0009092202101355161,False,0.1,True,1.712726405145304e-09,,3.1547559926295747,0.0006720039312386739,1.0,3.154083988698336,d0.10_a1.2_nu1.0,0.059252137871144736,0.0036962583568835652,1.1109259107480798e-09,,,
4,1.2,0.033388415248470305,positive,-0.001792257203650098,False,0.1,True,8.726628308863837e-10,,3.1809734431441474,0.0005648079131712613,1.5,3.180408635230976,d0.10_a1.2_nu1.5,0.049734316317049124,0.003100960125473204,5.660006714419047e-10,,,
4,1.2,0.04853628241729454,positive,-0.004720504350474286,False,0.1,True,2.7584055040108524e-09,,3.1872886632609756,0.00044073606329364523,2.0,3.186847927197682,d0.10_a1.2_nu2.0,0.038410273218704105,0.002392625614575719,1.7888703068279313e-09,,,
4,1.6,0.017843452008323425,positive,-0.0005074697478355423,False,0.1,True,1.357718382166695e-09,,2.34399341103654,0.0007347772633745642,0.0,2.3432586337731656,d0.10_a1.6_nu0.0,0.08348407778950007,0.005207601704542483,8.806513256322807e-10,,,
4,1.6,0.02146715327212198,positive,-0.0008083143899723564,False,0.1,True,1.0751133316944106e-10,,2.4766186870726563,0.0006668356302932388,0.5,2.475951851442363,d0.10_a1.6_nu0.5,0.07623983750022467,0.004753762051030982,6.973145561463351e-11,,,
4,1.6,0.02732482263541438,positive,-0.001478924512707879,False,0.1,True,5.803893809996907e-09,,2.60813467308108,0.0005802477180369969,1.0,2.607554425363043,d0.10_a1.6_nu1.0,0.06683529203639305,0.004164693021095001,3.764073439248476e-09,,,
4,1.6,0.038009100906059225,positive,-0.003419617170420501,False,0.1,True,1.8526473688496026e-09,,2.734989899990646,0.0004750095409344901,1.5,2.7345148904497116,d0.10_a1.6_nu1.5,0.05502541703319445,0.003424920416092813,1.2013560217909498e-09,,,
4,1.6,0.06245515178393636,positive,-0.012101440625738317,False,0.1,True,8.472057277941758e-09,,2.849787921364142,0.0003502060962787823,2.0,2.849437715267863,d0.10_a1.6_nu2.0,0.04036143294072628,0.0025059420230165216,5.492071952991086e-09,,,
4,0.0,0.024385257938390525,positive,-0.0005128096432141766,False,0.15,True,5.067462005570178e-09,,3.5874374827595314,0.000598233924927527,0.0,3.586839248834604,d0.15_a0.0_nu0.0,0.04607427853170134,0.0028767076506877915,3.287266464594454e-09,,,
4,0.0,0.02488895157424652,positive,-0.0005458190681475588,False,0.15,True,6.039599931284556e-10,,3.578799131357256,0.0005879256107585995,0.5,3.578211205746497,d0.15_a0.0_nu0.5,0.04522475788071618,0.002823639297970743,3.9178790521034456e-10,,,
4,0.0,0.026531021327003662,positive,-0.0006227924777776327,False,0.15,True,5.585487627968178e-10,,3.5522092439445525,0.0005568778616855674,1.0,3.551652366082867,d0.15_a0.0_nu1.0,0.042659653181255884,0.002663402283005376,3.623273672782796e-10,,,
4,0.0,0.02981927346608509,positive,-0.0008545430507581178,False,0.15,True,1.0067613409603382e-09,,3.5053998500295607,0.0005044803440767964,1.5,3.504895369685484,d0.15_a0.0_nu1.5,0.038324228147931585,0.002392582363125371,6.530772942495982e-10,,,
4,0.0,0.036108044558501945,positive,-0.0013131320757991372,False,0.15,True,3.7106544503728855e-09,,3.43354855273597,0.0004295051823963725,2.0,3.4331190475535736,d0.15_a0.0_nu2.0,0.03210595779838714,0.0020041607812919028,2.4070412440865147e-09,,,
4,0.4,0.02431901042831613,positive,-0.0005412247230799703,False,0.15,True,3.729131226037907e-09,,3.5322258038008543,0.0006129665906522419,0.0,3.531612837210202,d0.15_a0.4_nu0.0,0.04783748909977351,0.002986558716375736,2.419065022160958e-09,,,
4,0.4,0.026919530605422497,positive,-0.0007218949523708112,False,0.15,True,1.6984880168990912e-09,,3.507522396987005,0.000566847977832019,0.5,3.506955549009173,d0.15_a0.4_nu0.5,0.04433937522992701,0.0027678800960931615,1.101785419369529e-09,,,
4,0.4,0.03154357732135325,positive,-0.0010885122095493159,False,0.15,True,2.9567441828248775e-09,,3.462954439358035,0.000500525905314575,1.0,3.4624539134527206,d0.15_a0.4_nu1.0,0.039104509437802706,0.0024406973290121057,1.917961503640576e-09,,,
4,0.4,0.04022355374760653,positive,-0.0020878006451303536,False,0.15,True,4.659778785054414e-09,,3.393526292309939,0.0004133296666988251,1.5,3.39311296264324,d0.15_a0.4_nu1.5,0.03205400203531794,0.0020000722689020997,3.0225681553149974e-09,,,
4,0.4,0.059783951995308476,positive,-0.006057559892434333,False,0.15,True,1.6367360800018105e-09,,3.2888352924736695,0.00030314618311022556,2.0,3.2885321462905592,d0.15_a0.4_nu2.0,0.023019260986826235,0.0014354378539267946,1.0615871786741104e-09,,,
4,0.8,0.023759102896985317,positive,-0.000631818637256809,False,0.15,True,7.800675660973866e-10,,3.3520057097418845,0.0006519652044034707,0.0,3.351353744537481,d0.15_a0.8_nu0.0,0.05326663888677711,0.003324789562793757,5.060111792520239e-10,,,
4,0.8,0.02857461817933348,positive,-0.001007460567314989,False,0.15,True,2.441300495092946e-10,,3.3349725897117968,0.0005701633438865983,0.5,3.33440242636791,d0.15_a0.8_nu0.5,0.046836489096085926,0.002922718877596438,1.5835634451761788e-10,,,
4,0.8,0.03727447799277517,positive,-0.0020726582160820414,False,0.15,True,1.8072792151713202e-09,,3.2956854266157873,0.0004687283563260536,1.0,3.2952166982594613,d0.15_a0.8_nu1.0,0.038550361500644566,0.002404648167041667,1.1722439033837476e-09,,,
4,0.8,0.05608566476672927,positive,-0.005964297706285807,False,0.15,True,6.280387321311309e-09,,3.225193407224087,0.0003467277012951797,1.5,3.2248466795227917,d0.15_a0.8_nu1.5,0.028281641749617347,0.00176259016641086,4.07318041942954e-09,,,
4,0.8,0.11903398529969823,positive,-0.047012263048739504,False,0.15,True,1.6800210111966862e-09,,3.1020613169140354,0.0001997811902434421,2.0,3.101861535723792,d0.15_a0.8_nu2.0,0.015739926535685816,0.0009780408027566696,1.0891910544842993e-09,,,
