D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.25416666666666665,3.934426229508197,0.08667857588988251,0.007513175518298121
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.25625,3.9024390243902443,0.08743165370924673,0.007644294070333638
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.25833333333333336,3.8709677419354835,0.08818468993639979,0.00777653953917897
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2604166666666667,3.84,0.0889376755570348,0.007909910133488386
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2625,3.8095238095238093,0.089690602067212,0.008044404099178972
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.26458333333333334,3.779527559055118,0.09044346111518557,0.008180019658494084
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.26666666666666666,3.75,0.09119624393189112,0.008316754907284988
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.26875,3.7209302325581395,0.09194894240552877,0.008454608009495247
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2708333333333333,3.6923076923076925,0.092701548360207,0.008593577068379796
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.27291666666666664,3.6641221374045805,0.09345405330929252,0.008733660079936088
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.275,3.6363636363636362,0.09420644955077502,0.00887485513696272
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.27708333333333335,3.6090225563909772,0.09495872893761816,0.00901716020144804
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2791666666666667,3.582089552238806,0.09571088346557498,0.009160573213760874
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.28125,3.5555555555555554,0.09646290565720297,0.009305092167830441
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2833333333333333,3.5294117647058822,0.09721478738873594,0.009450714887037134
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.28541666666666665,3.5036496350364965,0.09796652131227253,0.009597439298027947
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2875,3.4782608695652177,0.09871809982096509,0.009745263232262028
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.28958333333333336,3.4532374100719423,0.09946951522956521,0.009894184460004705
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2916666666666667,3.4285714285714284,0.10022076052174897,0.010044200839557756
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.29375,3.404255319148936,0.10097182793463202,0.010195310036460936
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.29583333333333334,3.380281690140845,0.10172271059816845,0.010347509851438733
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.29791666666666666,3.3566433566433567,0.10247340115153726,0.010500797943563877
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.3,3.3333333333333335,0.10322389248803386,0.010655171980381174
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.05,20.0,0.009425821677106169,8.884611428860455e-05
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.052083333333333336,19.2,0.009916882218421498,9.834455293404449e-05
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.05416666666666667,18.46153846153846,0.010412611509503834,0.0001084224784478517
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.05625,17.77777777777778,0.01091285592643656,0.00011909042447116156
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.058333333333333334,17.142857142857142,0.011417471344660203,0.00013035865190613686
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.06041666666666667,16.551724137931036,0.01192632219790511,0.00014223716116824417
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.0625,16.0,0.012439280659138843,0.00015473570331682568
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.06458333333333334,15.483870967741934,0.012956225966710925,0.00016786379130047445
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.06666666666666667,15.0,0.013477043845345728,0.00018163071080937117
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.06875,14.545454545454545,0.014001625755976847,0.0001960455238104342
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.07083333333333333,14.117647058823529,0.01452986870064021,0.00021111708445784404
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.07291666666666667,13.714285714285714,0.015061674475257903,0.00022685403799863543
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.07500000000000001,13.333333333333332,0.015596949617556328,0.0002432648373725905
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.07708333333333334,12.972972972972972,0.01613560474209168,0.00026035774039301156
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,0.07916666666666666,12.631578947368421,0.016677554392983147,0.00027814082053091146
