alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.436,-0.2742030661554405,0.9633945564577786,0.9556347846452727,0.06992950901329147,0.9759487691472335,0.952476
0.44,-0.27728050170675045,0.9625816637305741,0.9548810558757771,0.071395287326995,0.9754998718605759,0.9516
0.444,-0.2803675870079676,0.9617574510193829,0.9541227752131327,0.07287738527509441,0.975046665549911,0.950716
0.448,-0.2834642512430116,0.9609218543949613,0.953359997175892,0.0743757433608682,0.9745891442038538,0.949824
0.452,-0.2865704208906117,0.9600748107622611,0.9525927758868659,0.07589029714771567,0.9741273017424366,0.948924
0.456,-0.2896860196986775,0.9592162578927954,0.9518211650262657,0.07742097721634497,0.9736611320166786,0.948016
0.46,-0.2928109686595681,0.9583461344572393,0.9510452177839532,0.07896770912488826,0.9731906288081488,0.9471
0.464,-0.29594518598631464,0.9574643800582452,0.9502649868108244,0.08053041337205555,0.9727157858285225,0.946176
0.468,-0.29908858708985286,0.9565709352634507,0.9494805241693534,0.0821090053634374,0.9722365967191319,0.945244
0.47200000000000003,-0.3022410845572861,0.955665741638661,0.9486918812833256,0.08370339538104722,0.9717530550505102,0.944304
0.47600000000000003,-0.3054025881312519,0.954748741781177,0.9478991088867912,0.085313488556217,0.9712651543219287,0.943356
0.48,-0.3085730046904162,0.953819879353252,0.9471022569722719,0.0869391848459342,0.9707728879609278,0.9424
0.484,-0.3117522382311613,0.9528790991156484,0.9463013747382567,0.0885803790127248,0.9702762493228411,0.941436
0.488,-0.3149401898504933,0.9519263469612709,0.945496510536024,0.0902369606081652,0.9697752316903129,0.940464
0.492,-0.31813675773023614,0.9509615699488496,0.9446877118158308,0.09190881396012283,0.9692698282728086,0.939484
0.496,-0.32134183712253966,0.9499847163366466,0.9438750250725092,0.09359581816380157,0.9687600322061186,0.938496
0.5,-0.3245553203367585,0.9489957356161591,0.9430584957905166,0.09529784707667976,0.9682458365518543,0.9375
0.504,-0.32777709672774813,0.9479945785457891,0.9422381683884865,0.09701476931741983,0.9677272342969376,0.936496
0.508,-0.3310070526856114,0.9469811971844512,0.9414140861633246,0.09874644826881615,0.9672042183530839,0.935484
0.512,-0.33424507162695316,0.9459555449250908,0.940586291233907,0.10049274208485803,0.9666767815562759,0.934464
0.516,-0.33749103398768,0.944917576528079,0.9397548244844306,0.10225350370196837,0.9661449166662318,0.933436
0.52,-0.3407448172173908,0.9438672481544536,0.9389197255074698,0.1040285808544782,0.9656086163658649,0.9324
0.524,-0.3440062957753952,0.9428045173989782,0.9380810325468016,0.10581781609438916,0.965067873260736,0.931356
0.528,-0.347275341128407,0.9417293433229816,0.9372387824400525,0.10762104681547437,0.9645226798784983,0.930304
0.532,-0.35055182174995586,0.9406416864869472,0.9363930105612362,0.10943810528176315,0.9639730286683337,0.929244
0.536,-0.35383560312154466,0.9395415089828204,0.9355437507632393,0.11126881866043914,0.9634189120003821,0.928176
0.54,-0.35712654773560126,0.9384287744659965,0.9346910353203239,0.11311300905918845,0.9628603221651623,0.9271
0.544,-0.3604245151002591,0.9373034481869578,0.9338348948707159,0.11497049356802093,0.9622972513729839,0.926016
0.548,-0.3637293617459994,0.9361654970225234,0.9329753583593445,0.11684108430558093,0.9617296917533533,0.924924
0.552,-0.3670409412341916,0.9350148895066769,0.9321124529808075,0.1187245884699598,0.9611576353543678,0.923824
0.556,-0.3703591041675627,0.9338515958609369,0.9312462041226347,0.1206208083940139,0.9605810741421049,0.922716
0.56,-0.37368369820262837,0.9326755880242334,0.9303766353089212,0.12252954160518631,0.96,0.9216
0.5640000000000001,-0.3770145680641114,0.9314868396822564,0.9295037681444097,0.12445058088982026,0.9594144047282175,0.920476
0.5680000000000001,-0.38035155556137834,0.9302853262962378,0.9286276222590973,0.12638371436195026,0.9588242800430118,0.9193439999999999
0.5720000000000001,-0.38369449960691393,0.9290710251311337,0.9277482152534453,0.1283287255365423,0.9582296175760797,0.918204
0.5760000000000001,-0.3870432362368675,0.9278439152831663,0.9268655626442719,0.13028539340715856,0.9576304088739037,0.917056
0.58,-0.3903975986336723,0.9266039777066954,0.925979677811408,0.13225349252799604,0.9570266453970862,0.9159
0.584,-0.3937574171507812,0.9253511952403773,0.9250905719451982,0.1342327931002658,0.9564183185196737,0.914736
0.588,-0.397122519339513,0.9240855526325793,0.9241982539949283,0.1362230610628473,0.9558054195284729,0.913564
0.592,-0.4004927299780327,0.922807036566014,0.9233027306182621,0.13822405818716024,0.9551879396223552,0.912384
0.596,-0.40386787110248523,0.921515635681553,0.9224040061317724,0.14023554217619072,0.954565869911553,0.911196
0.6,-0.40724776204026797,0.9202113406011936,0.921502082462646,0.14225726676758016,0.9539392014169457,0.91
0.604,-0.4106322194454739,0.9188941439501364,0.9205969591016496,0.14428898184070907,0.9533079250693346,0.908796
0.608,-0.41402105733649364,0.9175640403779418,0.9196886330574401,0.1463304335276748,0.9526720317087093,0.907584
0.612,-0.41741408713577527,0.9162210265787359,0.9187770988122981,0.14838136432806395,0.9520315120835023,0.906364
