D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.375,0.1,III-b,7.634789415524039e-05,7.642152585538978e-05,1.000964423458749,0.0009644234587489198,DeltaS_int^(2)
3,theta,0.4,0.1,vis,7.648992459235256e-05,7.648992459235256e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.4,0.1,I,7.648992459235256e-05,7.648992459235256e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.4,0.1,II,7.648992459235256e-05,6.666625894214763e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.4,0.1,III-a,7.648992459235256e-05,7.648992459235256e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.4,0.1,III-b,7.648992459235256e-05,7.656391620170878e-05,1.0009673379827548,0.0009673379827548345,DeltaS_int^(2)
3,theta,0.42500000000000004,0.1,vis,7.663508223780779e-05,7.663508223780779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.42500000000000004,0.1,I,7.663508223780779e-05,7.663508223780779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.42500000000000004,0.1,II,7.663508223780779e-05,6.679277386853728e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.42500000000000004,0.1,III-a,7.663508223780779e-05,7.663508223780779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.42500000000000004,0.1,III-b,7.663508223780779e-05,7.670942350091585e-05,1.0009700682890557,0.0009700682890556589,DeltaS_int^(2)
3,theta,0.45,0.1,vis,7.678304297212481e-05,7.678304297212481e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.45,0.1,I,7.678304297212481e-05,7.678304297212481e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.45,0.1,II,7.678304297212481e-05,6.692173188071756e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.45,0.1,III-a,7.678304297212481e-05,7.678304297212481e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.45,0.1,III-b,7.678304297212481e-05,7.685772413896652e-05,1.000972625777137,0.0009726257771369706,DeltaS_int^(2)
3,theta,0.47500000000000003,0.1,vis,7.693348267582234e-05,7.693348267582234e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.47500000000000003,0.1,I,7.693348267582234e-05,7.693348267582234e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.47500000000000003,0.1,II,7.693348267582234e-05,6.705285048614605e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.47500000000000003,0.1,III-a,7.693348267582234e-05,7.693348267582234e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.47500000000000003,0.1,III-b,7.693348267582234e-05,7.700849438611862e-05,1.0009750203381844,0.000975020338184418,DeltaS_int^(2)
3,theta,0.5,0.1,vis,7.708607722941907e-05,7.708607722941907e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5,0.1,I,7.708607722941907e-05,7.708607722941907e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5,0.1,II,7.708607722941907e-05,6.71858471922803e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.5,0.1,III-a,7.708607722941907e-05,7.708607722941907e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5,0.1,III-b,7.708607722941907e-05,7.716141054108622e-05,1.0009772622291175,0.000977262229117537,DeltaS_int^(2)
3,theta,0.525,0.1,vis,7.724678903091194e-05,7.724678903091194e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.525,0.1,I,7.724678903091194e-05,7.724678903091194e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.525,0.1,II,7.724678903091194e-05,6.732591864130424e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.525,0.1,III-a,7.724678903091194e-05,7.724678903091194e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.525,0.1,III-b,7.724678903091194e-05,7.732244147359183e-05,1.0009793603543782,0.0009793603543781781,DeltaS_int^(2)
3,theta,0.55,0.1,vis,7.742116681000438e-05,7.742116681000438e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.55,0.1,I,7.742116681000438e-05,7.742116681000438e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.55,0.1,II,7.742116681000438e-05,6.747790093487676e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.55,0.1,III-a,7.742116681000438e-05,7.742116681000438e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.55,0.1,III-b,7.742116681000438e-05,7.749714205110183e-05,1.0009813238966534,0.0009813238966533966,DeltaS_int^(2)
3,theta,0.5750000000000001,0.1,vis,7.760826594477474e-05,7.760826594477474e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5750000000000001,0.1,I,7.760826594477474e-05,7.760826594477474e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5750000000000001,0.1,II,7.760826594477474e-05,6.764097076966777e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.5750000000000001,0.1,III-a,7.760826594477474e-05,7.760826594477474e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.5750000000000001,0.1,III-b,7.760826594477474e-05,7.768456735204624e-05,1.0009831608314221,0.0009831608314221363,DeltaS_int^(2)
