point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.10_a0.4_nu1.0,0.1,0.4,1.0,3.6333291786489754,0.08,True,,3.0753177782116836e-14,0.15222366965024509,3.6352681947067937,3.408514789859929e-15,0.23797314516433696,0.7676809512472212,0.3456582478793721,3.057965464246081,1.0122827383238473,-1.0348684539359503,-1.0122827383238473,0.23797314516433696,0.05663121781940659,0.0019390160578183213,True
d0.10_a0.4_nu1.5,0.1,0.4,1.5,3.5991539079429464,0.02,True,,8.881784197001252e-16,0.13403597376712242,3.5999316018055714,-5.4155898515650946e-17,0.05685384899916271,0.7800244732033182,0.44401309349604473,3.224765557883984,1.0671037379743211,-1.0914616946335434,-1.0671037379743211,0.05685384899916271,0.0032323601460195945,0.0007776938626249397,True
d0.10_a0.4_nu1.5,0.1,0.4,1.5,3.5991539079429464,0.04,True,,1.1102230246251565e-15,0.13404974536179615,3.6001564882766246,3.155028321932818e-17,0.11372060386354221,0.7801839622168493,0.44406960430271913,3.2253352128309416,1.0672952407021512,-1.0918129377358943,-1.0672952407021512,0.11372060386354221,0.012932375743088692,0.0010025803336781713,True
d0.10_a0.4_nu1.5,0.1,0.4,1.5,3.5991539079429464,0.06,True,,1.9984014443252818e-15,0.13407269440097036,3.600531308725107,-8.456776945386935e-18,0.17061317099653944,0.7804498180697051,0.4441638008326726,3.2262848845148255,1.0676144968183507,-1.092398405137126,-1.0676144968183507,0.17061317099653944,0.029108854117494407,0.0013774007821605316,True
d0.10_a0.4_nu1.5,0.1,0.4,1.5,3.5991539079429464,0.08,True,,1.9984014443252818e-15,0.1341048149618221,3.6010560869640895,-3.122502256758253e-17,0.2275444634898824,0.7808221294786144,0.4442957158122166,3.2276149554090807,1.068061637262872,-1.0932183034946292,-1.068061637262872,0.2275444634898824,0.051776482864898415,0.0019021790211430911,True
d0.10_a0.4_nu2.0,0.1,0.4,2.0,3.5502354084626218,0.02,True,,2.4424906541753444e-15,0.11196402661135435,3.5509366079821763,1.0489656018797255e-16,0.053381405289366954,0.7902239883314248,0.5420535721146837,3.431328149397814,1.1350239824714663,-1.162305010440416,-1.1350239824714663,0.053381405289366954,0.002849574430667654,0.0007011995195544962,True
d0.10_a0.4_nu2.0,0.1,0.4,2.0,3.5502354084626218,0.04,True,,2.0872192862952943e-14,0.11197946571988855,3.551167838741869,-2.62084191154921e-15,0.10677634109248246,0.790380281371016,0.5421111713117228,3.431896475542999,1.1352144490956562,-1.1626866363779715,-1.1352144490956562,0.10677634109248246,0.01140118701709816,0.000932430279247054,True
d0.10_a0.4_nu2.0,0.1,0.4,2.0,3.5502354084626218,0.06,True,,4.440892098500626e-16,0.11200519134529882,3.551553257203442,-4.9873299934333204e-18,0.16019834017310675,0.790640833674218,0.5422071923767866,3.4328439596647513,1.1355319869326195,-1.1633228257911554,-1.1355319869326195,0.16019834017310675,0.025663508194218428,0.0013178487408200823,True
d0.10_a0.4_nu2.0,0.1,0.4,2.0,3.5502354084626218,0.08,True,,9.992007221626409e-16,0.11204119875974679,3.5520928562924703,-2.883977778811442e-17,0.2136609388543929,0.7910057120822579,0.5423416546364406,3.4341709657292085,1.1359767210669816,-1.1642136965636283,-1.1359767210669816,0.2136609388543929,0.04565099679214063,0.0018574478298485353,True
d0.10_a0.8_nu0.0,0.1,0.8,0.0,3.4599435696228706,0.02,True,,4.440892098500626e-16,0.19124166411879515,3.460874632960614,3.843496701461113e-17,0.0645280633064844,0.6922220726814702,0.2769011841947448,2.689401693904074,0.891078047656265,-0.9078989319264317,-0.891078047656265,0.0645280633064844,0.004163870954085659,0.0009310633377435096,True
