D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
4,2,1.0,3.0,14.947266405668648,-558.579765861289,-558.5519325050764,-0.027833356212681792,-0.027826170978595858,5.506755451362838e-05,True,The algorithm converged to the desired accuracy.
4,2,1.0,4.0,19.921130132662974,-1190.6255461086696,-1190.554277287478,-0.07126882119155198,-0.07114840190967209,0.0007119532548451324,True,The algorithm converged to the desired accuracy.
4,2,1.0,5.0,24.764222595105284,-2146.58398034718,-2146.433522589731,-0.15045775744874845,-0.14933261354037694,2.2068844285794142e-05,True,The algorithm converged to the desired accuracy.
4,2,1.5,1.0,5.0984731069696005,-51.990939646282975,-51.9888560449845,-0.00208360129847307,-0.0020835982832333234,1.5434886423326601e-06,True,The algorithm converged to the desired accuracy.
4,2,1.5,1.5,7.600167860987053,-129.97157657855945,-129.96574090915618,-0.005835669403268184,-0.005835603159523994,7.254639101580626e-06,True,The algorithm converged to the desired accuracy.
4,2,1.5,2.0,10.128662674912022,-256.4872994082548,-256.4745189553899,-0.012780452864888048,-0.012779757057396965,2.52873236368939e-05,True,The algorithm converged to the desired accuracy.
4,2,1.5,2.5,12.648055291672383,-439.95067421512,-439.9265823183049,-0.024091896815093605,-0.024087236761500215,7.310452950297364e-05,True,The algorithm converged to the desired accuracy.
4,2,1.5,3.0,15.145101514475666,-688.163367804794,-688.1222996513193,-0.04106815347472548,-0.04104508061720664,0.0001859477360733608,True,The algorithm converged to the desired accuracy.
4,2,1.5,4.0,20.06192377383652,-1408.7814833830419,-1408.6827492752943,-0.09873410774753211,-0.09841451989791934,3.970916609130626e-05,True,The algorithm converged to the desired accuracy.
4,2,1.5,5.0,24.88530249856835,-2477.311345416535,-2477.113121781009,-0.19822363552611932,-0.19566756064990187,0.0005938972892529648,True,The algorithm converged to the desired accuracy.
4,2,2.0,1.0,5.679657598476133,-80.650294796764,-80.6462760898192,-0.004018706944805217,-0.0040186853108985406,7.951360268719336e-06,True,The algorithm converged to the desired accuracy.
4,2,2.0,1.5,8.102177508395767,-180.53440901626917,-180.52452103827417,-0.009887977994992525,-0.009887655751441548,4.2882221380768915e-07,True,The algorithm converged to the desired accuracy.
4,2,2.0,2.0,10.55780385340002,-334.4216242051435,-334.401666620605,-0.019957584538474293,-0.019954935224129697,9.036801311378129e-05,True,The algorithm converged to the desired accuracy.
4,2,2.0,2.5,13.01814867280624,-550.8204417262284,-550.7846333186823,-0.03580840754614201,-0.03579311037665214,1.0409274097344934e-05,True,The algorithm converged to the desired accuracy.
4,2,2.0,3.0,15.469814532361262,-837.6616749175066,-837.6030658297949,-0.0586090877117158,-0.058542071893606766,0.0005498235812901875,True,The algorithm converged to the desired accuracy.
4,2,2.0,4.0,20.327980900753165,-1653.0394436946433,-1652.9072300055418,-0.13221368910149067,-0.13144865258286212,0.00019451657633151598,True,The algorithm converged to the desired accuracy.
4,2,2.0,5.0,25.121342052082145,-2840.1238893836585,-2839.868219239698,-0.25567014396028753,-0.25024123329787024,0.0026143434056251635,True,The algorithm converged to the desired accuracy.
4,2,3.0,1.0,6.847270244374067,-164.1093709904943,-164.09788429821674,-0.01148669227757182,-0.011486187103810826,1.0975480429026296e-05,True,The algorithm converged to the desired accuracy.
